Nx,Ny,Ns,p_x,p_y,p_y_minus_x
1,1,1,1,1,1
1,1,2,1,1,1
1,1,3,1,1,1
1,1,4,1,1,1
1,1,5,1,1,1
1,1,6,1,1,1
1,1,7,1,1,1
1,1,8,1,1,1
1,2,1,1,2,2
1,2,2,1,2,2
1,2,3,1,2,2
1,2,4,1,2,2
1,2,5,1,2,2
1,2,6,1,2,2
1,2,7,1,2,2
1,2,8,1,2,2
1,3,1,1,3,3
1,3,2,1,3,3
1,3,3,1,3,3
1,3,4,1,3,3
1,3,5,1,3,3
1,3,6,1,3,3
1,3,7,1,3,3
1,3,8,1,3,3
1,4,1,1,4,4
1,4,2,1,4,4
1,4,3,1,4,4
1,4,4,1,4,4
1,4,5,1,4,4
1,4,6,1,4,4
1,4,7,1,4,4
1,4,8,1,4,4
1,5,1,1,5,5
1,5,2,1,5,5
1,5,3,1,5,5
1,5,4,1,5,5
1,5,5,1,5,5
1,5,6,1,5,5
1,5,7,1,5,5
1,5,8,1,5,5
1,6,1,1,6,6
1,6,2,1,6,6
1,6,3,1,6,6
1,6,4,1,6,6
1,6,5,1,6,6
1,6,6,1,6,6
1,6,7,1,6,6
1,6,8,1,6,6
1,7,1,1,7,7
1,7,2,1,7,7
1,7,3,1,7,7
1,7,4,1,7,7
1,7,5,1,7,7
1,7,6,1,7,7
1,7,7,1,7,7
1,7,8,1,7,7
1,8,1,1,8,8
1,8,2,1,8,8
1,8,3,1,8,8
1,8,4,1,8,8
1,8,5,1,8,8
1,8,6,1,8,8
1,8,7,1,8,8
1,8,8,1,8,8
2,1,1,2,2,1
2,1,2,2,1,2
2,1,3,2,2,1
2,1,4,2,1,2
2,1,5,2,2,1
2,1,6,2,1,2
2,1,7,2,2,1
2,1,8,2,1,2
2,2,1,2,4,4
2,2,2,2,2,2
2,2,3,2,4,4
2,2,4,2,2,2
2,2,5,2,4,4
2,2,6,2,2,2
2,2,7,2,4,4
2,2,8,2,2,2
2,3,1,2,6,3
2,3,2,2,3,6
2,3,3,2,6,3
2,3,4,2,3,6
2,3,5,2,6,3
2,3,6,2,3,6
2,3,7,2,6,3
2,3,8,2,3,6
2,4,1,2,8,8
2,4,2,2,4,4
2,4,3,2,8,8
2,4,4,2,4,4
2,4,5,2,8,8
2,4,6,2,4,4
2,4,7,2,8,8
2,4,8,2,4,4
2,5,1,2,10,5
2,5,2,2,5,10
2,5,3,2,10,5
2,5,4,2,5,10
2,5,5,2,10,5
2,5,6,2,5,10
2,5,7,2,10,5
2,5,8,2,5,10
2,6,1,2,12,12
2,6,2,2,6,6
2,6,3,2,12,12
2,6,4,2,6,6
2,6,5,2,12,12
2,6,6,2,6,6
2,6,7,2,12,12
2,6,8,2,6,6
2,7,1,2,14,7
2,7,2,2,7,14
2,7,3,2,14,7
2,7,4,2,7,14
2,7,5,2,14,7
2,7,6,2,7,14
2,7,7,2,14,7
2,7,8,2,7,14
2,8,1,2,16,16
2,8,2,2,8,8
2,8,3,2,16,16
2,8,4,2,8,8
2,8,5,2,16,16
2,8,6,2,8,8
2,8,7,2,16,16
2,8,8,2,8,8
3,1,1,3,3,3
3,1,2,3,3,1
3,1,3,3,1,3
3,1,4,3,3,3
3,1,5,3,3,1
3,1,6,3,1,3
3,1,7,3,3,3
3,1,8,3,3,1
3,2,1,3,6,2
3,2,2,3,6,6
3,2,3,3,2,6
3,2,4,3,6,2
3,2,5,3,6,6
3,2,6,3,2,6
3,2,7,3,6,2
3,2,8,3,6,6
3,3,1,3,9,9
3,3,2,3,9,9
3,3,3,3,3,3
3,3,4,3,9,9
3,3,5,3,9,9
3,3,6,3,3,3
3,3,7,3,9,9
3,3,8,3,9,9
3,4,1,3,12,12
3,4,2,3,12,4
3,4,3,3,4,12
3,4,4,3,12,12
3,4,5,3,12,4
3,4,6,3,4,12
3,4,7,3,12,12
3,4,8,3,12,4
3,5,1,3,15,5
3,5,2,3,15,15
3,5,3,3,5,15
3,5,4,3,15,5
3,5,5,3,15,15
3,5,6,3,5,15
3,5,7,3,15,5
3,5,8,3,15,15
3,6,1,3,18,18
3,6,2,3,18,18
3,6,3,3,6,6
3,6,4,3,18,18
3,6,5,3,18,18
3,6,6,3,6,6
3,6,7,3,18,18
3,6,8,3,18,18
3,7,1,3,21,21
3,7,2,3,21,7
3,7,3,3,7,21
3,7,4,3,21,21
3,7,5,3,21,7
3,7,6,3,7,21
3,7,7,3,21,21
3,7,8,3,21,7
3,8,1,3,24,8
3,8,2,3,24,24
3,8,3,3,8,24
3,8,4,3,24,8
3,8,5,3,24,24
3,8,6,3,8,24
3,8,7,3,24,8
3,8,8,3,24,24
4,1,1,4,4,2
4,1,2,4,2,4
4,1,3,4,4,1
4,1,4,4,1,4
4,1,5,4,4,2
4,1,6,4,2,4
4,1,7,4,4,1
4,1,8,4,1,4
4,2,1,4,8,8
4,2,2,4,4,2
4,2,3,4,8,8
4,2,4,4,2,4
4,2,5,4,8,8
4,2,6,4,4,2
4,2,7,4,8,8
4,2,8,4,2,4
4,3,1,4,12,3
4,3,2,4,6,12
4,3,3,4,12,6
4,3,4,4,3,12
4,3,5,4,12,3
4,3,6,4,6,12
4,3,7,4,12,6
4,3,8,4,3,12
4,4,1,4,16,16
4,4,2,4,8,8
4,4,3,4,16,16
4,4,4,4,4,4
4,4,5,4,16,16
4,4,6,4,8,8
4,4,7,4,16,16
4,4,8,4,4,4
4,5,1,4,20,10
4,5,2,4,10,20
4,5,3,4,20,5
4,5,4,4,5,20
4,5,5,4,20,10
4,5,6,4,10,20
4,5,7,4,20,5
4,5,8,4,5,20
4,6,1,4,24,24
4,6,2,4,12,6
4,6,3,4,24,24
4,6,4,4,6,12
4,6,5,4,24,24
4,6,6,4,12,6
4,6,7,4,24,24
4,6,8,4,6,12
4,7,1,4,28,7
4,7,2,4,14,28
4,7,3,4,28,14
4,7,4,4,7,28
4,7,5,4,28,7
4,7,6,4,14,28
4,7,7,4,28,14
4,7,8,4,7,28
4,8,1,4,32,32
4,8,2,4,16,16
4,8,3,4,32,32
4,8,4,4,8,8
4,8,5,4,32,32
4,8,6,4,16,16
4,8,7,4,32,32
4,8,8,4,8,8
5,1,1,5,5,5
5,1,2,5,5,5
5,1,3,5,5,5
5,1,4,5,5,1
5,1,5,5,1,5
5,1,6,5,5,5
5,1,7,5,5,5
5,1,8,5,5,5
5,2,1,5,10,10
5,2,2,5,10,10
5,2,3,5,10,2
5,2,4,5,10,10
5,2,5,5,2,10
5,2,6,5,10,10
5,2,7,5,10,10
5,2,8,5,10,2
5,3,1,5,15,15
5,3,2,5,15,3
5,3,3,5,15,15
5,3,4,5,15,15
5,3,5,5,3,15
5,3,6,5,15,15
5,3,7,5,15,3
5,3,8,5,15,15
5,4,1,5,20,4
5,4,2,5,20,20
5,4,3,5,20,20
5,4,4,5,20,20
5,4,5,5,4,20
5,4,6,5,20,4
5,4,7,5,20,20
5,4,8,5,20,20
5,5,1,5,25,25
5,5,2,5,25,25
5,5,3,5,25,25
5,5,4,5,25,25
5,5,5,5,5,5
5,5,6,5,25,25
5,5,7,5,25,25
5,5,8,5,25,25
5,6,1,5,30,30
5,6,2,5,30,30
5,6,3,5,30,30
5,6,4,5,30,6
5,6,5,5,6,30
5,6,6,5,30,30
5,6,7,5,30,30
5,6,8,5,30,30
5,7,1,5,35,35
5,7,2,5,35,35
5,7,3,5,35,7
5,7,4,5,35,35
5,7,5,5,7,35
5,7,6,5,35,35
5,7,7,5,35,35
5,7,8,5,35,7
5,8,1,5,40,40
5,8,2,5,40,8
5,8,3,5,40,40
5,8,4,5,40,40
5,8,5,5,8,40
5,8,6,5,40,40
5,8,7,5,40,8
5,8,8,5,40,40
6,1,1,6,6,3
6,1,2,6,3,2
6,1,3,6,2,3
6,1,4,6,3,6
6,1,5,6,6,1
6,1,6,6,1,6
6,1,7,6,6,3
6,1,8,6,3,2
6,2,1,6,12,4
6,2,2,6,6,6
6,2,3,6,4,12
6,2,4,6,6,2
6,2,5,6,12,12
6,2,6,6,2,6
6,2,7,6,12,4
6,2,8,6,6,6
6,3,1,6,18,9
6,3,2,6,9,18
6,3,3,6,6,3
6,3,4,6,9,18
6,3,5,6,18,9
6,3,6,6,3,6
6,3,7,6,18,9
6,3,8,6,9,18
6,4,1,6,24,24
6,4,2,6,12,4
6,4,3,6,8,24
6,4,4,6,12,12
6,4,5,6,24,8
6,4,6,6,4,12
6,4,7,6,24,24
6,4,8,6,12,4
6,5,1,6,30,5
6,5,2,6,15,30
6,5,3,6,10,15
6,5,4,6,15,10
6,5,5,6,30,15
6,5,6,6,5,30
6,5,7,6,30,5
6,5,8,6,15,30
6,6,1,6,36,36
6,6,2,6,18,18
6,6,3,6,12,12
6,6,4,6,18,18
6,6,5,6,36,36
6,6,6,6,6,6
6,6,7,6,36,36
6,6,8,6,18,18
6,7,1,6,42,21
6,7,2,6,21,14
6,7,3,6,14,21
6,7,4,6,21,42
6,7,5,6,42,7
6,7,6,6,7,42
6,7,7,6,42,21
6,7,8,6,21,14
6,8,1,6,48,16
6,8,2,6,24,24
6,8,3,6,16,48
6,8,4,6,24,8
6,8,5,6,48,48
6,8,6,6,8,24
6,8,7,6,48,16
6,8,8,6,24,24
7,1,1,7,7,7
7,1,2,7,7,7
7,1,3,7,7,7
7,1,4,7,7,7
7,1,5,7,7,7
7,1,6,7,7,1
7,1,7,7,1,7
7,1,8,7,7,7
7,2,1,7,14,14
7,2,2,7,14,14
7,2,3,7,14,14
7,2,4,7,14,14
7,2,5,7,14,2
7,2,6,7,14,14
7,2,7,7,2,14
7,2,8,7,14,14
7,3,1,7,21,21
7,3,2,7,21,21
7,3,3,7,21,21
7,3,4,7,21,3
7,3,5,7,21,21
7,3,6,7,21,21
7,3,7,7,3,21
7,3,8,7,21,21
7,4,1,7,28,28
7,4,2,7,28,28
7,4,3,7,28,4
7,4,4,7,28,28
7,4,5,7,28,28
7,4,6,7,28,28
7,4,7,7,4,28
7,4,8,7,28,28
7,5,1,7,35,35
7,5,2,7,35,5
7,5,3,7,35,35
7,5,4,7,35,35
7,5,5,7,35,35
7,5,6,7,35,35
7,5,7,7,5,35
7,5,8,7,35,35
7,6,1,7,42,6
7,6,2,7,42,42
7,6,3,7,42,42
7,6,4,7,42,42
7,6,5,7,42,42
7,6,6,7,42,42
7,6,7,7,6,42
7,6,8,7,42,6
7,7,1,7,49,49
7,7,2,7,49,49
7,7,3,7,49,49
7,7,4,7,49,49
7,7,5,7,49,49
7,7,6,7,49,49
7,7,7,7,7,7
7,7,8,7,49,49
7,8,1,7,56,56
7,8,2,7,56,56
7,8,3,7,56,56
7,8,4,7,56,56
7,8,5,7,56,56
7,8,6,7,56,8
7,8,7,7,8,56
7,8,8,7,56,56
8,1,1,8,8,4
8,1,2,8,4,8
8,1,3,8,8,2
8,1,4,8,2,8
8,1,5,8,8,4
8,1,6,8,4,8
8,1,7,8,8,1
8,1,8,8,1,8
8,2,1,8,16,16
8,2,2,8,8,4
8,2,3,8,16,16
8,2,4,8,4,8
8,2,5,8,16,16
8,2,6,8,8,2
8,2,7,8,16,16
8,2,8,8,2,8
8,3,1,8,24,6
8,3,2,8,12,24
8,3,3,8,24,12
8,3,4,8,6,24
8,3,5,8,24,3
8,3,6,8,12,24
8,3,7,8,24,12
8,3,8,8,3,24
8,4,1,8,32,32
8,4,2,8,16,16
8,4,3,8,32,32
8,4,4,8,8,4
8,4,5,8,32,32
8,4,6,8,16,16
8,4,7,8,32,32
8,4,8,8,4,8
8,5,1,8,40,20
8,5,2,8,20,40
8,5,3,8,40,5
8,5,4,8,10,40
8,5,5,8,40,20
8,5,6,8,20,40
8,5,7,8,40,10
8,5,8,8,5,40
8,6,1,8,48,48
8,6,2,8,24,6
8,6,3,8,48,48
8,6,4,8,12,24
8,6,5,8,48,48
8,6,6,8,24,12
8,6,7,8,48,48
8,6,8,8,6,24
8,7,1,8,56,7
8,7,2,8,28,56
8,7,3,8,56,28
8,7,4,8,14,56
8,7,5,8,56,14
8,7,6,8,28,56
8,7,7,8,56,28
8,7,8,8,7,56
8,8,1,8,64,64
8,8,2,8,32,32
8,8,3,8,64,64
8,8,4,8,16,16
8,8,5,8,64,64
8,8,6,8,32,32
8,8,7,8,64,64
8,8,8,8,8,8
