L,shift,p_x,p_y,p_y_minus_x,|x|,|y|,|y-x|,cos(theta_xy),theta_xy_deg
64,0,64,64,64,1.00000000,1.00000000,1.41421356,-0.00000000,90.00000000
64,1,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,2,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,3,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,4,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,5,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,6,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,7,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,8,64,512,512,1.00000000,0.12500000,0.17677670,1.00000000,0.00000000
64,9,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,10,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,11,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,12,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,13,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,14,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,15,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,16,64,256,256,1.00000000,0.25000000,0.35355339,1.00000000,0.00000000
64,17,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,18,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,19,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,20,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,21,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,22,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,23,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,24,64,512,512,1.00000000,0.12500000,0.17677670,1.00000000,0.00000000
64,25,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,26,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,27,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,28,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,29,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,30,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,31,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,32,64,128,128,1.00000000,0.50000000,0.70710678,0.75000000,41.40962211
64,33,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,34,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,35,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,36,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,37,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,38,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,39,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,40,64,512,512,1.00000000,0.12500000,0.17677670,1.00000000,0.00000000
64,41,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,42,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,43,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,44,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,45,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,46,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,47,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,48,64,256,256,1.00000000,0.25000000,0.35355339,1.00000000,0.00000000
64,49,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,50,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,51,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,52,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,53,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,54,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,55,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,56,64,512,512,1.00000000,0.12500000,0.17677670,1.00000000,0.00000000
64,57,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,58,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,59,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,60,64,1024,1024,1.00000000,0.06250000,0.08838835,1.00000000,0.00000000
64,61,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
64,62,64,2048,2048,1.00000000,0.03125000,0.04419417,1.00000000,0.00000000
64,63,64,4096,4096,1.00000000,0.01562500,0.02209709,1.00000000,0.00000000
